week_start,theme,primary_asset,current_or_planned,evidence_required,repurposed_channels,primary_audience,call_to_action,owner,status
2026-10-05,Why Lastrico exists,Founder video,Current,Current beta screen and Milan limitation,YouTube; LinkedIn; Instagram; TikTok; email,Beta users,Test the Milan beta,Founder,Planned
2026-10-12,Fastest versus lower known rough-surface exposure,Controlled route test,Current,Method date area mode provider and unknown data,YouTube; SEO article; short video; GitHub,Milan riders and drivers,Review the evidence,Founder plus product reviewer,Planned
2026-10-19,What missing road data means,Educational explainer,Current,One documented example and provenance method,YouTube; LinkedIn; carousel; community,Contributors,Improve a bounded issue,Founder plus data reviewer,Planned
2026-10-26,The first contributor path,Open-source walkthrough,Current,Reproducible setup and labelled issue,GitHub; YouTube; LinkedIn; email,Developers,Choose a good first issue,Maintainer,Planned
2026-11-02,Car motorcycle and bicycle are different,Mode explainer,Current,Provider behaviour and test limitations,YouTube; article; carousel; community,Multimodal testers,Test one supported mode,Founder plus routing reviewer,Planned
2026-11-09,A bug and its correction,Build log,Current,Issue cause fix test and remaining limitation,GitHub; LinkedIn; short video,Developers and beta users,Reproduce or review the fix,Maintainer,Planned
2026-11-16,Community road information,Reporting walkthrough,Current,Moderation and privacy workflow,Instagram; TikTok; article; email,Non-technical contributors,Submit a non-sensitive report,Community owner,Planned
2026-11-23,What public map services cost,Founder cost note,Current,Provider terms and dated cost assumptions,YouTube; LinkedIn; newsletter,Startup and technical audience,Read the technical notes,Founder,Planned
2026-11-30,The future interface of navigation is the prompt,Concept explainer,Planned,Current/planned matrix and bounded preference schema mock-up,YouTube; LinkedIn; carousel,Product and mobility audience,Join a research discussion,Founder plus product reviewer,Planned
2026-12-07,Route-test methods,Method guide,Current,Safe capture protocol and reproducibility checklist,Article; GitHub; YouTube Short,Testers and researchers,Run a controlled test,Product reviewer,Planned
2026-12-14,Q4 learning review,Founder progress report,Current,Metrics with definitions denominators and failures,LinkedIn; newsletter; GitHub; YouTube,Community and prospective partners,Comment on the next priority,Founder,Planned
2026-12-21,Contributor recognition,Opt-in community spotlight,Current,Contributor consent and accepted work,GitHub; LinkedIn; email,Community,Thank or join contributors,Community owner,Conditional
2026-12-28,2027 evidence roadmap,Roadmap update,Planned,Approved roadmap with no delivery promise,GitHub; LinkedIn; newsletter,All consented audiences,Follow one relevant workstream,Founder and release owner,Planned
