scenario,quarter,organic_content_eur,video_equipment_eur,editing_eur,website_seo_eur,community_tools_eur,newsletter_tools_eur,paid_social_eur,paid_youtube_eur,creator_collaborations_eur,events_eur,pr_eur,media_production_eur,crowdfunding_marketing_eur,total_eur,assumption
Lean,Q4 2026,400,500,0,250,0,0,0,0,0,0,0,100,0,1250,Management planning assumption; VAT excluded
Lean,Q1 2027,450,0,0,250,50,0,0,0,0,100,0,100,0,950,Management planning assumption; VAT excluded
Lean,Q2 2027,500,0,0,300,50,0,100,0,0,100,0,100,0,1150,Management planning assumption; VAT excluded
Lean,Q3 2027,550,0,0,300,50,0,100,0,100,100,0,100,0,1300,Management planning assumption; VAT excluded
Lean,Q4 2027,600,250,0,350,50,50,150,0,100,150,0,100,0,1800,Management planning assumption; VAT excluded
Lean,Q1 2028,650,0,150,350,75,50,150,0,100,150,0,100,0,1775,Management planning assumption; VAT excluded
Lean,Q2 2028,700,0,150,400,75,50,200,0,150,150,0,100,0,1975,Management planning assumption; VAT excluded
Lean,Q3 2028,750,0,200,400,75,50,200,0,150,200,0,100,0,2125,Management planning assumption; VAT excluded
Lean,Q4 2028,800,300,200,450,75,50,250,0,200,200,0,100,500,3125,Management planning assumption; VAT excluded
Lean,Q1 2029,850,0,250,450,100,50,250,0,200,250,0,100,0,2500,Management planning assumption; VAT excluded
Lean,Q2 2029,900,0,250,500,100,50,300,0,250,250,0,100,0,2700,Management planning assumption; VAT excluded
Lean,Q3 2029,950,0,300,500,100,50,300,0,250,300,0,100,0,2850,Management planning assumption; VAT excluded
Lean,Q4 2029,1000,300,300,550,100,50,350,0,300,300,0,100,1000,4350,Management planning assumption; VAT excluded
Base,Q4 2026,800,1200,600,600,100,50,0,0,0,250,0,300,0,3900,Management planning assumption; VAT excluded
Base,Q1 2027,900,0,750,650,100,50,300,0,250,300,0,300,0,3600,Management planning assumption; VAT excluded
Base,Q2 2027,1000,0,750,700,100,50,400,0,300,400,0,300,0,4000,Management planning assumption; VAT excluded
Base,Q3 2027,1100,0,900,750,150,50,500,0,400,500,0,350,0,4700,Management planning assumption; VAT excluded
Base,Q4 2027,1200,800,900,800,150,100,600,200,500,600,500,400,1000,7750,Management planning assumption; VAT excluded
Base,Q1 2028,1300,0,1100,850,200,100,700,250,600,700,300,450,0,6550,Management planning assumption; VAT excluded
Base,Q2 2028,1400,0,1200,900,200,100,800,300,700,800,300,500,0,7200,Management planning assumption; VAT excluded
Base,Q3 2028,1500,0,1300,950,200,100,900,350,800,900,400,550,0,7950,Management planning assumption; VAT excluded
Base,Q4 2028,1600,1000,1400,1000,250,150,1000,400,900,1000,700,600,2500,12500,Management planning assumption; VAT excluded
Base,Q1 2029,1700,0,1600,1100,250,150,1200,500,1000,1100,500,700,0,9800,Management planning assumption; VAT excluded
Base,Q2 2029,1800,0,1700,1200,250,150,1400,600,1200,1200,500,750,0,10750,Management planning assumption; VAT excluded
Base,Q3 2029,1900,0,1800,1300,300,150,1600,700,1400,1300,600,800,0,11850,Management planning assumption; VAT excluded
Base,Q4 2029,2000,1200,1900,1400,300,200,1800,800,1600,1500,1000,900,5000,19600,Management planning assumption; VAT excluded
Accelerated,Q4 2026,1800,2500,2500,1200,300,100,500,0,500,1000,1000,1500,0,12900,Management planning assumption; VAT excluded
Accelerated,Q1 2027,2200,0,3000,1500,400,150,1500,500,1000,1500,800,1800,0,14350,Management planning assumption; VAT excluded
Accelerated,Q2 2027,2500,0,3200,1700,400,150,2000,700,1500,1800,800,2000,0,16750,Management planning assumption; VAT excluded
Accelerated,Q3 2027,2800,0,3500,1900,500,200,2500,900,2000,2200,1000,2200,0,19700,Management planning assumption; VAT excluded
Accelerated,Q4 2027,3000,1800,3800,2200,500,200,3000,1200,2500,2600,2500,2500,5000,30800,Management planning assumption; VAT excluded
Accelerated,Q1 2028,3500,0,4500,2500,600,250,4000,1500,3000,3000,1500,3000,0,27350,Management planning assumption; VAT excluded
Accelerated,Q2 2028,3800,0,4800,2800,600,250,5000,1800,3500,3500,1500,3200,0,30750,Management planning assumption; VAT excluded
Accelerated,Q3 2028,4200,0,5200,3000,700,300,6000,2200,4000,4000,1800,3500,0,34900,Management planning assumption; VAT excluded
Accelerated,Q4 2028,4500,2500,5600,3300,700,300,7000,2600,5000,4500,3500,4000,12000,55500,Management planning assumption; VAT excluded
Accelerated,Q1 2029,5000,0,6500,3800,800,350,8500,3200,6000,5000,2500,4500,0,46150,Management planning assumption; VAT excluded
Accelerated,Q2 2029,5500,0,7000,4200,800,350,10000,3800,7000,5500,2500,5000,0,51650,Management planning assumption; VAT excluded
Accelerated,Q3 2029,6000,0,7500,4600,900,400,12000,4500,8000,6000,3000,5500,0,58400,Management planning assumption; VAT excluded
Accelerated,Q4 2029,6500,3000,8000,5000,900,400,14000,5500,10000,7000,6000,6500,20000,92800,Management planning assumption; VAT excluded
