experiment_id,quarter,status,hypothesis,target_audience,channel,content_or_offer,budget_cap_eur,success_metric,maximum_duration,stop_condition,learning_outcome,readiness_gate,owner
EXP-001,Q4 2026,Planned,A guided Milan cohort will produce usable repeat route feedback,Milan motorcycle community,Direct community outreach,Four-week supervised beta cohort,250,Activation plus repeat use plus valid feedback,4 weeks,Stop for unresolved reliability issue or fewer than 5 eligible participants,Whether a mode community has recurring need,Stable mode routing and consented measurement,Founder plus product owner
EXP-002,Q4 2026,Planned,A useful Milan pavé page will activate problem-intent visitors,Italian local searchers,SEO,Evidence page linked to beta,150,Search-to-first-route activation,8 weeks,Stop if page cannot provide verified local value,Whether search intent maps to product use,Indexable evidence page and coverage gate,Growth owner
EXP-003,Q1 2027,Planned,A transparent founder origin video will drive qualified visits,Italian startup and mobility audience,YouTube,Founder story with current beta proof,200,Qualified visits and first routes,30 days,Stop after three assets with no product-linked action,Whether founder narrative converts beyond views,Approved evidence and sustainable production,Founder
EXP-004,Q2 2027,Planned,Guided beginner issues will increase completed first contributions,Developers and students,GitHub,Five scoped good-first issues,100,Completed useful first contributions,6 weeks,Stop if review backlog exceeds 14 days,Which onboarding friction blocks contribution,Maintainer capacity and contribution docs,Maintainer
EXP-005,Q3 2027,Planned,A route-comparison short will outperform generic product content,Local mode audience,Instagram and TikTok,Controlled comparison clip,150,Activated users per production hour,21 days,Stop after three variants below baseline activation,Which hook attracts qualified users,Safe footage and working landing page,Founder
EXP-006,Q4 2027,Conditional,A small university clinic will produce reproducible product learning,Students and researchers,University network,Supervised issue and route-test clinic,600,Accepted bugs tests or method improvements,1 event,Cancel without facilitator or privacy protocol,Whether structured academic participation is useful,Partner confirmation and moderation capacity,Community owner
EXP-007,Q1 2028,Planned,Personalised evidence pitches will earn accurate coverage,Italian local and technology media,Email outreach,Five tailored pitches and factual kit,300,Qualified replies demos or accurate coverage,30 days,Stop after two unanswered messages per target,Which editorial angle has earned-media fit,Working demo and verified founder bio,Founder
EXP-008,Q2 2028,Conditional,A creator evidence pitch can reach qualified mobility testers,Relevant creator category,Creator outreach,Independent demo offer,700,Qualified activation and retained cohort,45 days,Stop if fee exceeds cap or editorial independence is restricted,Whether creator audience matches product use,Organic evidence plus disclosure and rights review,Founder
EXP-009,Q3 2028,Planned,A research-only future-region list will reveal problem interest outside Milan,Eligible Italian research participants,SEO and email,No-coverage research page with interview opt-in,200,Completed qualified interviews,8 weeks,Stop if visitors mistake it for supported coverage,Which regions and hazards merit validation,Clear no-coverage copy and separate consent,Research owner
EXP-010,Q4 2028,Conditional,A moderated mapping session will produce verified corrections,Local mobility and open-data groups,Community event,Controlled public-road data session,1000,Approved corrections per moderator hour,1 event,Cancel if backlog or evidence rights are unresolved,Whether events improve data efficiently,Data owner moderation capacity and safety protocol,Community owner
EXP-011,Q1 2029,Conditional,A segmented partner explainer will generate qualified B2B discovery,Future mobility partners,LinkedIn and direct outreach,Technical evidence brief,500,Qualified problem interviews,8 weeks,Stop if product evidence is not relevant to target,Which hosted capability may create B2B value,Approved commercial discovery scope,Founder
EXP-012,Q2 2029,Conditional,Small paid amplification of the best organic asset will scale retained users,Best validated beta audience,Paid social,Top evidence asset,1000,Cost per retained D30 user,30 days,Stop at approved cost cap or weaker retention than organic,Whether one validated channel scales,Stable product funnel and retained organic cohort,Growth owner
EXP-013,Q4 2029,Conditional,A separate crowdfunding-interest sequence will qualify supporters,Consented funding-update segment,Email and earned media,Milestone evidence series,2500,Qualified compliant opt-ins and engagement,8 weeks,Stop without legal review or credible funded milestone,Whether community interest supports future campaign diligence,Legal review and founder approval,Founder
