Scenario,Quarter,Quarter_Index,MAU,Paid_Conversion_Rate,Paid_Users,Net_B2C_ARPPU_Quarter_EUR,B2C_Revenue_EUR,B2B_B2G_Active_Contracts,B2B_B2G_Revenue_EUR,Grants_Other_Operating_Income_EUR,Total_Operating_Revenue_EUR,Payroll_Contractors_EUR,Infrastructure_Maps_EUR,Data_Moderation_EUR,Legal_Security_Insurance_EUR,Field_Testing_EUR,Sales_Marketing_EUR,Administration_Contingency_EUR,Total_Operating_Costs_EUR,Operating_Cash_Flow_EUR,Opening_Cash_EUR,Financing_Inflows_Net_EUR,Cumulative_Financing_EUR,Closing_Cash_EUR,Gross_Burn_EUR,Net_Burn_EUR,Average_Monthly_Net_Burn_EUR,Runway_Months,Scenario_Total_Net_Funding_EUR,Revenue_Check_EUR,Cash_Check_EUR
Lean,Q4 2026,1,1000,0.000,0,9.50,0.00,0,0.00,20000.00,20000.00,45000.00,3000.00,3000.00,10000.00,3000.00,5000.00,5000.00,74000.00,-54000.00,0.00,700000.00,700000.00,646000.00,74000.00,54000.00,18000.00,35.9,2000000.00,0.00,0.00
Lean,Q1 2027,2,1800,0.010,18,9.50,171.00,0,0.00,15000.00,15171.00,50000.00,4000.00,4000.00,6000.00,4000.00,7000.00,5000.00,80000.00,-64829.00,646000.00,0.00,700000.00,581171.00,80000.00,64829.00,21609.67,26.9,2000000.00,0.00,0.00
Lean,Q2 2027,3,3000,0.015,45,9.50,427.50,1,5000.00,10000.00,15427.50,55000.00,5000.00,5000.00,5000.00,4000.00,8000.00,6000.00,88000.00,-72572.50,581171.00,0.00,700000.00,508598.50,88000.00,72572.50,24190.83,21.0,2000000.00,0.00,0.00
Lean,Q3 2027,4,5000,0.020,100,9.50,950.00,1,5000.00,10000.00,15950.00,60000.00,6000.00,6000.00,5000.00,5000.00,10000.00,6000.00,98000.00,-82050.00,508598.50,0.00,700000.00,426548.50,98000.00,82050.00,27350.00,15.6,2000000.00,0.00,0.00
Lean,Q4 2027,5,8000,0.025,200,9.50,1900.00,2,10000.00,0.00,11900.00,65000.00,7000.00,7000.00,5000.00,5000.00,12000.00,7000.00,108000.00,-96100.00,426548.50,0.00,700000.00,330448.50,108000.00,96100.00,32033.33,10.3,2000000.00,0.00,0.00
Lean,Q1 2028,6,12000,0.030,360,9.50,3420.00,2,10000.00,30000.00,43420.00,70000.00,8000.00,8000.00,5000.00,6000.00,15000.00,7000.00,119000.00,-75580.00,330448.50,0.00,700000.00,254868.50,119000.00,75580.00,25193.33,10.1,2000000.00,0.00,0.00
Lean,Q2 2028,7,18000,0.035,630,9.50,5985.00,3,15000.00,20000.00,40985.00,75000.00,10000.00,9000.00,5000.00,6000.00,18000.00,8000.00,131000.00,-90015.00,254868.50,0.00,700000.00,164853.50,131000.00,90015.00,30005.00,5.5,2000000.00,0.00,0.00
Lean,Q3 2028,8,26000,0.040,1040,9.50,9880.00,4,20000.00,10000.00,39880.00,80000.00,12000.00,10000.00,6000.00,7000.00,22000.00,8000.00,145000.00,-105120.00,164853.50,0.00,700000.00,59733.50,145000.00,105120.00,35040.00,1.7,2000000.00,0.00,0.00
Lean,Q4 2028,9,35000,0.045,1575,9.50,14962.50,5,25000.00,0.00,39962.50,90000.00,15000.00,12000.00,6000.00,7000.00,26000.00,9000.00,165000.00,-125037.50,59733.50,1300000.00,2000000.00,1234696.00,165000.00,125037.50,41679.17,29.6,2000000.00,0.00,0.00
Lean,Q1 2029,10,45000,0.050,2250,9.50,21375.00,6,30000.00,20000.00,71375.00,100000.00,18000.00,14000.00,6000.00,8000.00,30000.00,10000.00,186000.00,-114625.00,1234696.00,0.00,2000000.00,1120071.00,186000.00,114625.00,38208.33,29.3,2000000.00,0.00,0.00
Lean,Q2 2029,11,60000,0.050,3000,9.50,28500.00,7,35000.00,0.00,63500.00,110000.00,22000.00,16000.00,7000.00,8000.00,35000.00,11000.00,209000.00,-145500.00,1120071.00,0.00,2000000.00,974571.00,209000.00,145500.00,48500.00,20.1,2000000.00,0.00,0.00
Lean,Q3 2029,12,75000,0.055,4125,9.50,39187.50,8,40000.00,0.00,79187.50,120000.00,27000.00,18000.00,7000.00,9000.00,40000.00,12000.00,233000.00,-153812.50,974571.00,0.00,2000000.00,820758.50,233000.00,153812.50,51270.83,16.0,2000000.00,0.00,0.00
Lean,Q4 2029,13,90000,0.060,5400,9.50,51300.00,10,50000.00,0.00,101300.00,130000.00,33000.00,20000.00,8000.00,10000.00,50000.00,14000.00,265000.00,-163700.00,820758.50,0.00,2000000.00,657058.50,265000.00,163700.00,54566.67,12.0,2000000.00,0.00,0.00
Base,Q4 2026,1,2000,0.000,0,10.00,0.00,0,0.00,30000.00,30000.00,75000.00,5000.00,5000.00,18000.00,5000.00,10000.00,8000.00,126000.00,-96000.00,0.00,1500000.00,1500000.00,1404000.00,126000.00,96000.00,32000.00,43.9,5600000.00,0.00,0.00
Base,Q1 2027,2,4000,0.010,40,10.00,400.00,1,8000.00,30000.00,38400.00,90000.00,7000.00,7000.00,10000.00,6000.00,15000.00,10000.00,145000.00,-106600.00,1404000.00,0.00,1500000.00,1297400.00,145000.00,106600.00,35533.33,36.5,5600000.00,0.00,0.00
Base,Q2 2027,3,8000,0.020,160,10.00,1600.00,2,16000.00,20000.00,37600.00,110000.00,10000.00,10000.00,8000.00,8000.00,20000.00,12000.00,178000.00,-140400.00,1297400.00,0.00,1500000.00,1157000.00,178000.00,140400.00,46800.00,24.7,5600000.00,0.00,0.00
Base,Q3 2027,4,15000,0.030,450,10.00,4500.00,3,24000.00,20000.00,48500.00,130000.00,14000.00,13000.00,8000.00,10000.00,30000.00,14000.00,219000.00,-170500.00,1157000.00,0.00,1500000.00,986500.00,219000.00,170500.00,56833.33,17.4,5600000.00,0.00,0.00
Base,Q4 2027,5,25000,0.040,1000,10.00,10000.00,5,40000.00,0.00,50000.00,155000.00,18000.00,17000.00,10000.00,12000.00,40000.00,16000.00,268000.00,-218000.00,986500.00,0.00,1500000.00,768500.00,268000.00,218000.00,72666.67,10.6,5600000.00,0.00,0.00
Base,Q1 2028,6,40000,0.045,1800,10.00,18000.00,7,56000.00,80000.00,154000.00,185000.00,25000.00,22000.00,8000.00,14000.00,55000.00,18000.00,327000.00,-173000.00,768500.00,0.00,1500000.00,595500.00,327000.00,173000.00,57666.67,10.3,5600000.00,0.00,0.00
Base,Q2 2028,7,65000,0.050,3250,10.00,32500.00,10,80000.00,40000.00,152500.00,220000.00,35000.00,30000.00,8000.00,16000.00,75000.00,22000.00,406000.00,-253500.00,595500.00,4100000.00,5600000.00,4442000.00,406000.00,253500.00,84500.00,52.6,5600000.00,0.00,0.00
